"CAND_ID","Amount","CAND_NAME","PTY","OFFICE"
"H8FL25015",139846,"GARCIA, JOE","DEM","H"
"H2FL22072",68884,"MURPHY, PATRICK","DEM","H"
"H8IL21021",44000,"COSTELLO, JERRY F","DEM","H"
"H0OH06189",43168,"JOHNSON, BILL","REP","H"
"H6CO07023",42270,"PERLMUTTER, EDWIN G","DEM","H"
"H6OH06095",42168,"WILSON, CHARLES A","DEM","H"
"H2AL06035",22500,"BACHUS, SPENCER T III","REP","H"
"H2FL08055",22000,"MICA, JOHN L. MR.","REP","H"
"H0NV03058",20625,"HECK, JOE","REP","H"
"H0OH08029",18000,"BOEHNER, JOHN A","REP","H"
"H2NJ02037",17000,"LOBIONDO, FRANK A.","REP","H"
"H2NV00035",14165,"OCEGUERA, JOHN","DEM","H"
"H0VA07042",14000,"CANTOR, ERIC IVAN","REP","H"
"H4LA07029",13500,"BOUSTANY, JR, CHARLES W.","REP","H"
"H2NV04011",12397,"HORSFORD, STEVEN ALEXZANDER","DEM","H"
"H2CO03138",12284,"PACE, SALVATORE II","DEM","H"
"H8CA22089",12000,"CAPPS, LOIS","DEM","H"
"H0MS04120",12000,"PALAZZO, STEVEN MCCARTY","REP11","H"
"H0PA12132",11970,"CRITZ, MARK","DEM111","H"
"H2OH09031",11500,"KAPTUR, MARCY C HON.","DEM","H"
"H2AZ02055",11000,"PASTOR, ED L","DEMqq","H"
"H8MS03067",11000,"HARPER, GREGG","REPqq","H"
"H0MS01043",11000,"NUNNELEE, PATRICK ALAN","REPqq","H"
"H2MD05155",10500,"HOYER, STENY HAMILTON","DEMqq","H"
"H2AL03032",10500,"ROGERS, MICHAEL DENNIS","REPqq","H"
"H2VA06115",10000,"GOODLATTE, ROBERT W","REP","H"
"H6MI04113",10000,"UPTON, FREDERICK STEPHEN","REP","H"
"H6OR04047",10000,"DEFAZIO, PETER A","DEM","H"
"H8NV03036",10000,"TITUS, DINA","DEM","H"
"H0MI10071",10000,"CAMP, DAVID LEE","REP","H"
"H0UT02096",10000,"MATHESON, JAMES D","DEM","H"
"H6CA09023",10000,"STARK, FORTNEY HILLMAN JR","DEM","H"
"H0OH12062",10000,"TIBERI, PATRICK J.","REP","H"
"H6IL06117",9500,"ROSKAM, PETER","REP","H"
"H8CA05035",9500,"PELOSI, NANCY","DEM","H"
"H0KY05015",9500,"ROGERS, HAROLD DALLAS","REP","H"
"H0PA04220",9470,"ROTHFUS, KEITH MR.","REP","H"
"H0NJ01066",9000,"ANDREWS, ROBERT E. MR.","DEM","H"
"H0MT00033",8500,"REHBERG, DENNIS R","REP","H"
"H0TN06257",8500,"BLACK, DIANE L MRS.","REP","H"
"H0OH16097",8022,"RENACCI, JAMES B","REP","H"
"H0TX07055",8000,"CULBERSON, JOHN","REP","H"
"H0FL18025",7500,"ROS-LEHTINEN, ILEANA","REP","H"
"H8NY07046",7000,"CROWLEY, JOSEPH","DEM","H"
"H0CA19173",7000,"DENHAM, JEFF","REP","H"
"H2MT01060",7000,"DAINES, STEVEN","REP","H"
"H6NC04037",7000,"PRICE, DAVID","DEM","H"
"H2GA01157",7000,"KINGSTON, JACK REP.","REP","H"
"H2TX29030",7000,"GREEN, RAYMOND E. 'GENE'","DEM","H"
"H6AL04098",6500,"ADERHOLT, ROBERT BROWN","REP","H"
"H2NV02395",6500,"AMODEI, MARK EUGENE","REP","H"
"H4OH19036",6500,"LATOURETTE, STEVEN C","REP","H"
"H8WY00148",6000,"LUMMIS, CYNTHIA MARIE","REP","H"
"H8LA00017",6000,"CASSIDY, WILLIAM","REP","H"
"H0IL10302",6000,"DOLD, ROBERT JAMES MR JR","REP","H"
"H6TX08100",6000,"BRADY, KEVIN","REP","H"
"H8NJ03073",5500,"PALLONE, FRANK JR","DEM","H"
"H6VT00160",5500,"WELCH, PETER","DEM","H"
"H8CO06138",5500,"COFFMAN, MICHAEL","REP","H"
"H2IL12122",5000,"ENYART, WILLIAM L JR","DEM","H"
"H0WA02080",5000,"LARSEN, RICK","DEM","H"
"H6WV04057",5000,"RAHALL, NICK JOE II","DEM","H"
"H0MS02066",5000,"MARCY, WILLIAM LOUIS","REP","H"
"H0NJ03153",5000,"RUNYAN, JON","REP","H"
"H2TX05121",5000,"HENSARLING, JEB HON.","REP","H"
"H8PA01153",5000,"BRADY, ROBERT A","DEM","H"
"H8NC07044",5000,"MCINTYRE, MIKE REP.","DEM","H"
"H2IL17063",5000,"KOEHLER, DAVID M","DEM","H"
"H6CA48039",5000,"CAMPBELL, JOHN BT III","REP","H"
"H0PA07082",5000,"MEEHAN, PATRICK L. MR. JR.","REP","H"
"H0IL14080",5000,"HULTGREN, RANDY","REP","H"
"H8FL15107",5000,"POSEY, BILL","REP","H"
"H8OH15076",5000,"STIVERS, STEVE MR.","REP","H"
"H8MN06047",5000,"KLINE, JOHN PAUL JR","REP","H"
"H6MN05183",5000,"ELLISON, KEITH MAURICE","DEM","H"
"H2LA05084",5000,"ALEXANDER, RODNEY M. MR.","REP","H"
"H2AL01077",5000,"BONNER, JOSIAH ROBIAS","REP","H"
"H8CA20059",4500,"NUNES, DEVIN GERALD","REP","H"
"H2TX31044",4500,"CARTER, JOHN R. REP.","REP","H"
"H4GA12010",4500,"BARROW, JOHN J.","DEM","H"
"H0LA01087",4500,"SCALISE, STEVE MR.","REP","H"
"H0AZ03362",4500,"QUAYLE, BEN","REP","H"
"H6NJ09165",4000,"ROTHMAN, STEVEN R.","DEM","H"
"H0WI08075",4000,"RIBBLE, REID","REP","H"
"H0AR03055",4000,"WOMACK, STEVE","REP","H"
"H0TX17104",4000,"FLORES, BILL","REP","H"
"H6OR02116",4000,"WALDEN, GREGORY P MR.","REP","H"
"H4WI04183",4000,"MOORE, GWENDOLYNNE","DEM","H"
"H4IA05102",4000,"LATHAM, THOMAS","REP","H"
"H2PA09035",4000,"SHUSTER, WILLIAM MR.","REP","H"
"H2MI17023",4000,"LEVIN, SANDER M MR","DEM","H"
"H6CA34112",4000,"LUNGREN, DANIEL E.","REP","H"
"H4NC06011",4000,"COBLE, JOHN HOWARD","REP","H"
"H2NV02247",4000,"MARSHALL, KATE","DEM","H"
"H2CA30143",4000,"BECERRA, XAVIER","DEM","H"
"H0MN08115",4000,"CRAVAACK, RAYMOND J MR.","REP","H"
"H6CA22125",3500,"MCCARTHY, KEVIN","REP","H"
"H4AZ06045",3500,"SCHWEIKERT, DAVID","REP","H"
"H0VA08040",3500,"MORAN, JAMES P JR","DEM","H"
"H8LA02054",3500,"RICHMOND, CEDRIC L.","DEM","H"
"H8CA44034",3000,"BONO MACK, MARY","REP","H"
"H8NY24066",3000,"HANNA, RICHARD","REP","H"
"H8OH11141",3000,"FUDGE, MARCIA L","DEM","H"
"H2TN06030",3000,"BLACKBURN, MARSHA MRS.","REP","H"
"H4TX02108",3000,"POE, TED","REP","H"
"H0IL17059",3000,"SCHILLING, ROBERT T.","REP","H"
"H6NJ08118",3000,"PASCRELL, WILLIAM J JR","DEM","H"
"H6VA01117",3000,"SCOTT, ROBERT C","DEM","H"
"H0SD00054",3000,"NOEM, KRISTI LYNN","REP","H"
"H0IL05096",3000,"QUIGLEY, MIKE","DEM","H"
