"CMTE_ID","FILE_NUM","TRANSACTION_TP","Month","Day","Year","TRANSACTION_AMT","STATE","ENTITY_TYPE","CAND_ID","CAND_NAME","OFFICE","PTY"
"C00018945",723297,"24K","01",13,2011,2000,"MN","PAC","S6MN00267","KLOBUCHAR, AMY J","S","DEM"
"C00261339",714633,"24K","01",13,2011,2000,"UT","PAC","S6UT00063","HATCH, ORRIN G","S","REP"
"C00367995",714521,"24K","01",26,2011,1000,"CO","PAC","S0CO00211","BENNET, MICHAEL F","S","DEM"
"C00434811",717079,"24K","02","05",2011,5000,"NE","PAC","S6NE00095","NELSON, E BENJAMIN","S","DEM"
"C00395723",840675,"24K","02","09",2011,1000,"NJ","PAC","S6NJ00289","MENENDEZ, ROBERT","S","DEM"
"C00395723",840675,"24K","02","09",2011,2500,"UT","PAC","S6UT00063","HATCH, ORRIN G","S","REP"
"C00367995",717088,"24K","02",14,2011,1000,"NV","PAC","S8NV00073","ENSIGN, JOHN E","S","REP"
"C00366070",738932,"24K","02",16,2011,2500,"CO","PAC","S0CO00211","BENNET, MICHAEL F","S","DEM"
"C00366070",738932,"24K","02",17,2011,2500,"WY","PAC","S6WY00068","BARRASSO, JOHN A","S","REP"
"C00142315",722322,"24K","02",23,2011,5000,"NV","PAC","S6NV00028","REID, HARRY","S","DEM"
"C00366070",738932,"24K","02",25,2011,1500,"WY","PAC","S6WY00068","BARRASSO, JOHN A","S","REP"
"C00395723",840675,"24K","02",25,2011,1500,"DE","PAC","S8DE00079","CARPER, THOMAS R","S","DEM"
"C00434811",725689,"24K","03","01",2011,2500,"OR","PAC","S8OR00207","MERKLEY, JEFFREY ALAN","S","DEM"
"C00395723",840675,"24K","03","08",2011,2000,"DE","PAC","S8DE00079","CARPER, THOMAS R","S","DEM"
"C00159954",725704,"24K","03","09",2011,3000,"CA","PAC","S0CA00199","FEINSTEIN, DIANNE","S","DEM"
"C00261339",723138,"24K","03",10,2011,1000,"NE","PAC","S6NE00095","NELSON, E BENJAMIN","S","DEM"
"C00159954",725704,"24K","03",10,2011,5000,"NE","PAC","S6NE00095","NELSON, E BENJAMIN","S","DEM"
"C00313650",764844,"24K","03",14,2011,2500,"AZ","PAC","S2AZ00141","FLAKE, JEFF","S","REP"
"C00348607",734928,"24K","03",15,2011,5000,"FL","PAC","S8FL00166","NELSON, BILL","S","DEM"
"C00348607",734928,"24K","03",15,2011,5000,"FL","PAC","S8FL00166","NELSON, BILL","S","DEM"
"C00430371",792949,"24K","03",16,2011,5000,"MT","PAC","S6MT00162","TESTER, JON","S","DEM"
"C00430371",792949,"24K","03",23,2011,5000,"RI","PAC","S6RI00221","WHITEHOUSE, SHELDON II","S","DEM"
"C00261339",723138,"24K","03",23,2011,2000,"NJ","PAC","S6NJ00289","MENENDEZ, ROBERT","S","DEM"
"C00430371",792949,"24K","03",23,2011,2000,"DC","PAC","S0NY00410","GILLIBRAND, KIRSTEN ELIZABETH","S","DEM"
