"CMTE_ID","Amount","CMTE_NM","CONNECTED_ORG_NM","CMTE_TP"
"C00521013",208730,"FLORIDA FREEDOM PAC","FLORIDA NEW MAJORITY","O"
"C00484287",185061,"WORKERS' VOICE","","O"
"C00101766",133000,"CONTINENTAL AIRLINES INC EMPLOYEE FUND FOR A BETTER AMERICA PAC","CONTINENTAL AIRLINES, INC.","Q"
"C00078261",111500,"UNITED AIRLINES POLITICAL ACTION COMMITTEE","UNITED AIRLINES","Q"
"C00142315",64000,"BOYD GAMING POLITICAL ACTION COMMITTEE","BOYD GAMING CORPORATION","Q"
"C00366070",60500,"FAA MANAGERS ASSOCIATION INC. PAC","FAA MANAGERS ASSOCIATION","Q"
"C00313650",59500,"US AIRWAYS GROUP, INC. FEDERAL PAC","","Q"
"C00226472",59500,"ARPAC","NONE","Q"
"C00309146",45500,"AMERICAN GAMING ASSOCIATION POLITICAL ACTION COMMITTEE","NONE","N"
"C00176727",44000,"AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES","AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES","Q"
"C00238444",43000,"COSTELLO FOR CONGRESS COMMITTEE","","H"
"C00034785",37000,"ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE","ACA INTERNATIONAL","Q"
"C00451153",36500,"GRIDIRON-PAC","NONE","Q"
"C00202861",36000,"THE SENATE VICTORY FUND PAC","COCHRAN","Q"
"C00485003",34500,"CLOUD PEAK ENERGY RESOURCES LLC EMPLOYEE PAC","","N"
"C00168070",33750,"AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)","AMERICAN AMBULANCE ASSOCIATION","Q"
"C00367995",31500,"SIERRA NEVADA CORPORATION PAC","","Q"
"C00079541",31000,"NARAL PRO-CHOICE AMERICA PAC","NARAL PRO-CHOICE AMERICA","Q"
"C00384602",29500,"AMERICAN SOCIETY FOR RADIATION ONCOLOGY PAC AKA ASTRO PAC","AMERICAN SOCIETY FOR RADIATION ONCOLOGY","Q"
"C00389403",26000,"SPECIALTY EQUIPMENT MARKET ASSOCIATION PAC SEMAPAC","SPECIALTY EQUIPMENT MARKET ASSOCIATION PAC SEMAPAC","Q"
