gene_id	symbol	rpkm(libid-21Tissue)	rpkm(libid-30 LMH)	NOTE(found in database)		
374096	SMAD6	18.41	12.69			
395132	SMAD3	7.99	56.96			
395247	SMAD2	2.35	7.92			
395543	SMAD9	0	4.16			
395679	SMAD5	18.41	55.48			
395680	SMAD4	12.71	30.02			
429683	SMAD7	6.39	4.14			
374094	TGFBR1	13.79	92.86			
396399	TGFBR2	0.95	0.43			
395934	SHC1	37.98	54.35			
426482	SHC4	0	2.99			
431265	SHC3	0	0			
770341	SHC2	1.92	6.47			
386572	GRB2	27.38	289.15			
N/A	SARA	0	0			
423572	SOS2	6.69	9.71			
425964	SOS1	0.77	1.17			
N/A	Ras	0	0			
N/A	Erk	0	0			
N/A	smad8	0	0			
396308	BMPR1A	4.08	15.6			
396030	BMPR1B	0.57	0			
374147	BMPR2	11.15	22.35			
416487	SMURF1	5.11	11.68			
427809	SMURF2	0.76	0.92			
373922	LIMK1	6.88	1.12			
396010	LIMK2	5.22	8.64			
N/A	Cofilin	0	0			
N/A	Mkk3	0	0			
N/A	MKK6	0	0			
N/A	p38	0	0			
N/A	TAK1	0	0			
N/A	MLK3	0	0			
N/A	MEKK1	0	0			
N/A	MKK4	0	0			
N/A	JNK	0	0			
N/A	PP2A	0	0			
N/A	PI3K	0	0			
395928	AKT1	12.16	29.53			
421497	AKT3	0.38	3.3			
N/A	mTOR	0	0			
N/A	S6K	0	0			
395870	RAC3	5.1	112.24			
395871	RAC1	45.16	254.9			
418044	RAC2	45.91	1.27			
395917	CDC42	56.75	527.62			
N/A	Par6	0	0			
N/A	PKC	0	0			
416734	PAK7	0	5.11			
419083	PAK1	0.38	4.08			
422342	PAK3	0.97	4.19			
424860	PAK2	7.3	12.95			
428837	PAK6	0	0.19			
N/A	c-AbI	0	0			
395442	RHOA	152.07	582.53			
N/A	mDia	0	0			
373970	ROCK1	12.35	39.02			
374182	ROCK2	3.91	8.87			
417737	MLC1	0	0
416158	PTTG1	5.02	14.15
424563	CDC20	22.1	58.63
425275	MCM10	1.57	0.79			
