gene_id	symbol	lib15-rpkm-heat	lib17-rpkm-control       (right/left: >2  up expressed, < 0.5 down expressed)
373854	ODZ2	1.3	4.66
373885	FZD10	4.83	0.62
373886	FZD9	6.12	7.11
373887	FZD4	3.71	8.43
373888	TFAM	57.36	66.82
373889	HK1	2.57	1.88
373890	ADRA1B	0.02	0
373891	RECQL5	1.94	1.22
373892	ADD3	71.44	62.03
373893	RX2	0	0
373894	SDK1	2.21	5.08
373895	TBX22	0	0
373896	UCP3	0.39	0.9
373897	MUSK	0.35	0.22
373898	KIAA1274	5.26	8.82
373899	PDIA3	465.3	335.11
373900	UGP2	177.86	69.07
373901	LMO4	103.81	56.5
373902	NR1H4	8.01	14.59
373903	DIO2	5.5	13.88
373904	RHOBTB2	40.33	56.42
373905	BASP1	94.89	31.31
373906	NRG1	2.26	3.76
373907	AHR	126.73	82.16
373908	EDNRA	0.63	1.16
373909	EDNRB2	0.11	0.03
373910	NHLH1	0.65	0.08
373911	PTPRO	0.03	0.33
373912	NOG	0	0
373913	NR2C1	17.17	17.96
373914	QSOX1	137.93	49.01
373916	ACO1	40.83	50.15
373917	LGALS3	17.15	25.52
373918	ACTN1	63.49	43.45
373919	RUNX2	3.98	1.19
373920	MID1	0.53	0.44
373921	ZNF622	31.1	43.11
373922	LIMK1	0.99	0.49
373923	CELF1	13.93	17.51
373924	CACNG4	0.12	0.08
373925	ARNTL2	6.34	13.63
373926	FGB	376.23	409.03
373927	CDH20	0.29	0.39
373928	PPARG	5.61	9.56
373929	MAPKAPK5	7.42	9.79
373930	SUMO1	46.02	42.76
373931	EGR1	252.13	351.62
373933	GRM5	0	0
373934	HOXA13	5.1	13.64
373935	DACH1	0.37	0.65
373936	RPL36	229.97	237.25
373937	RPL22	701.94	724.01
373938	VAV2	6.75	8.26
373939	VAV3	20.43	16.37
373940	LHX3	0	0
373941	PRRX1	5.69	4.02
373942	AGMAT	5.76	6.06
373943	TBX20	0.05	0
373945	ABCA1	1.3	3.8
373947	FDX1	30.71	30.45
373948	MATR3	93.1	94.32
373949	B3GAT1	0.21	0.2
373952	NBL1	0.95	1.13
373953	MAPK1	105.43	143.84
373954	BCL2L1	39.56	56.47
373956	ADORA3	0.11	0.04
373957	RPL6	621.35	495.61
373958	IL2	0	0
373960	SMYD1	0	0
373961	HDAC1	42.31	66.01
373963	EEF1A1	4259.35	3042.33
373964	MSTN	0.11	0
373965	CALD1	2.45	2.89
373967	SLIT2	0.05	0.03
373969	DLX5	0.05	0
373970	ROCK1	63.48	71.93
373971	TYR	0	0
373972	PRPF40A	128.46	128.09
373974	IRX4	0	0
373975	IRX2	0.08	0
373976	ALX4	14.39	7.36
373977	PSEN1	13.38	9.92
373978	COL18A1	7.55	14.55
373979	FBLN1	33.47	54.23
373980	LAMB2	0.82	0.93
373981	HPSE	0.08	0
373983	BRCA1	3.99	12.6
373984	PCNA	110.48	254.52
373985	CHRDL1	0.03	0.12
373986	LMBR1	43.4	34.9
373987	THBS1	2.63	4.89
373988	TBX5	0	0
373989	TBX4	0.16	0.21
373990	TBX2	4.17	8.63
373991	CLOCK	8.17	9.56
373992	FBN1	4.19	5.41
373994	POU2AF1	0.02	0.14
373995	KERA	0	0
373996	CAV1	12.42	8.27
373997	LDHB	214.64	106.8
373998	CRYBA4	0.26	0
373999	CRYBA2	2.59	3.52
374000	CRYBB1	0.34	0
374001	CHRNA7	0.43	0.23
374002	CKMT1A	0.83	0.17
374003	POLK	1.15	1.79
374004	MYOG	0	0
374005	HCRT	0.1	0.26
374006	SAT1	335.48	232.35
374007	CDH7	0	0
374008	EPHA6	0	0
374009	ACO2	65.6	103.08
374010	UNG	14.87	15.27
374011	MAB21L2	15.45	7.26
374012	BIRC2	60.84	30.56
374015	FABP1	0.35	0
374016	LAMA1	0	0.02
374017	BARX1	0	0.14
374018	ILK	30.19	31.79
