ADA	comp63790_c0_seq3
CDH2	amisp023629
AKT3	amisp024041
MED6	amisp007080
NR2E3	amisp017055
NAALAD2	amisp024365
NAALADL1	amisp013952
ACOT8	comp68754_c0_seq1
ABI1	comp67150_c0_seq2
GNPDA1	amisp021001
KCNE3	amisp001806
ZBTB33	amisp034924
CDH3	comp69637_c0_seq1
TANK	amisp007073
POM121C	amisp006148
SRA1	amisp023659
ZGLP1	amisp002390
LOC100127983	comp67489_c0_seq26
FAM229A	amisp019493
TRAPPC3L	comp70543_c3_seq19
C19orf71	amisp015397
OST4	amisp008744
LOC100129361	comp58462_c0_seq1
C3orf83	amisp018926
FAM47E	amisp013264
TCF24	amisp001306
CCDC152	comp30324_c0_seq1
SCXA	amisp007634
LOC100129924	comp70764_c6_seq23
HDAC6	amisp030038
LOC100130097	amisp026877
CCDC166	comp31805_c0_seq2
LOC100130301	amisp021826
TMEM221	amisp027260
LOC100130705	amisp000139
LRRC70	comp902768_c0_seq1
LRRC69	comp30660_c0_seq1
TSTD3	comp60048_c0_seq2
C7orf72	amisp010112
TSTD1	amisp018070
TMEM194B	amisp031545
C11orf91	amisp002235
SP9	comp60530_c0_seq1
PET100	amisp004856
FAM196B	amisp019367
LOC100132146	amisp005818
LOC100132731	amisp028956
TEN1	amisp022879
UPK3BL	amisp021876
JMJD7	amisp000739
PLA2G4B	amisp000743
HDAC5	amisp007296
PDCD6IP	comp63269_c2_seq2
PDCD6	amisp023761
BCL2L10	amisp015530
BCL2L11	comp29035_c0_seq2
TOMM6	amisp003295
SH2B3	amisp005487
C5orf52	amisp006095
CDH4	amisp015762
GNE	amisp015499
HCN4	amisp023238
INSL5	amisp030525
TROAP	amisp003736
MED16	amisp032448
PIGK	amisp023708
ARHGEF33	amisp016973
WASH1	amisp009554
MANSC4	amisp004342
SMKR1	amisp000494
ANKRD66	amisp010586
TTC34	amisp006686
TIMM23	amisp034114
ERVMER34-1	comp71172_c0_seq3
LOC100288524	amisp029626
ZNF783	amisp026451
LOC100293211	amisp002533
CDH5	amisp009521
PET117	amisp004622
ANKRD61	comp70470_c4_seq1
CHAF1A	amisp032358
PARP2	amisp015329
ZBED6	amisp004656
PARP3	amisp008840
CDH6	amisp026487
TOM1L1	amisp031378
HMGXB4	amisp009967
IGLL5	amisp018115
TOM1	amisp009968
KLRF2	amisp034215
SH2D3C	amisp020255
MAMLD1	amisp003973
RANBP9	amisp008405
DNAJB6	amisp029824
CCDC180	amisp023625
CDH7	amisp001170
SLC17A4	amisp028998
RPS17L	amisp017058
LINC00984	amisp013557
SPATA1	comp1219636_c0_seq1
LOC100505841	amisp017573
LRRC72	amisp034326
ZMYM6NB	amisp002853
THEGL	comp69883_c9_seq24
DCDC5	amisp014912
OCLN	amisp016684
LOC100507003	amisp027552
GIMD1	amisp034053
SMLR1	comp51472_c0_seq1
ZNF865	amisp022696
SMIM18	comp32842_c0_seq1
TMEM178B	amisp029974
C14orf164	amisp020899
LOC100507656	amisp008202
LOC100507855	amisp001778
SMC4	comp69071_c0_seq3
GJC1	amisp030379
PMF1-BGLAP	amisp005988
TMEM56-RWDD3	comp29106_c0_seq1
POC1B-GALNT4	comp62369_c0_seq1
BCL2L2-PABPN1	amisp020902
CORO7-PAM16	comp69052_c1_seq1
SYNJ2BP-COX16	comp59683_c0_seq3
AP1M2	amisp032937
MINOS1-NBL1	amisp007597
FXYD6-FXYD2	amisp027072
UBA2	amisp015745
SAE1	amisp031871
FARSB	amisp002924
ABCC5	comp68650_c8_seq4
ABCB6	amisp017623
DNM1L	comp63772_c1_seq2
CDH8	amisp012293
ABCC9	comp69840_c2_seq11
ABCF2	amisp007267
NR1H3	amisp020940
COX17	comp69860_c0_seq2
LOC100652824	comp51449_c1_seq1
LOC100653137	amisp006141
LOC100653194	comp70583_c0_seq21
SCAMP2	amisp004792
SCAMP3	amisp000353
IL18BP	amisp031517
RWDD2B	amisp028931
SNUPN	amisp008250
HUWE1	amisp017156
PTPRU	comp69494_c0_seq8
TSPAN32	amisp011620
TSSC4	comp56977_c0_seq1
ATP9A	amisp023858
CDH10	amisp014564
PDCD7	amisp033989
MYZAP	comp63069_c0_seq3
USH1C	amisp022140
PQBP1	amisp030028
EDIL3	amisp002247
HHLA1	amisp024659
FSBP	comp53617_c0_seq1
LOC100862671	amisp002586
COL4A3BP	comp64227_c0_seq2
PTGES3L	comp69482_c2_seq9
CDH11	amisp026365
UST	amisp012410
ARPC5	amisp017955
ARPC4	amisp022309
ARPC3	amisp008647
ARPC1B	comp60474_c0_seq1
ACTR3	amisp017863
ACTR2	amisp021401
TSPAN5	comp68029_c3_seq5
TSPAN3	amisp014560
LOC100996283	amisp008630
LOC100996390	amisp023605
LOC100996482	comp27837_c0_seq1
LOC100996619	amisp027395
LOC100996634	amisp029558
LOC100996657	amisp029016
LOC100996693	comp813258_c0_seq1
PYURF	amisp025216
ADAM8	comp50871_c0_seq2
CDH12	amisp031047
TSPAN2	comp57712_c0_seq3
NUBP2	amisp030900
TSFM	amisp012078
TSPAN1	comp32213_c0_seq1
PPIF	amisp014144
LOC101059957	amisp017819
CTDSP2	amisp004223
LOC101060399	amisp014583
LOC101060521	amisp014584
LOC101060770	comp1215869_c0_seq1
ARPC2	amisp018012
SGK2	comp66344_c0_seq3
RAD50	amisp021016
KIF20A	amisp011331
PREB	amisp008739
HIPK3	amisp024690
FEM1B	amisp023519
ENAM	amisp028365
CDH13	amisp034556
ACTR1A	amisp002094
ARL4C	amisp034245
ARL4A	amisp019880
RASGRP1	amisp019592
DNAL4	amisp027700
LRPPRC	amisp005281
FRY	amisp028125
PDIA6	amisp005579
TRAP1	amisp030420
OPTN	amisp019307
BCAP31	amisp033714
NAMPT	amisp006476
RBM12	amisp025095
YAF2	comp70303_c1_seq69
ARFRP1	comp65487_c1_seq2
CDH16	amisp015759
TOB1	amisp000064
AKAP9	comp70330_c1_seq15
CLEC3A	comp899755_c0_seq1
FAM13A	comp69172_c0_seq4
G3BP1	amisp005112
SUGP2	amisp027267
EBI3	amisp032371
GPR64	comp60376_c0_seq4
CDH17	amisp006947
MBNL2	comp67955_c3_seq9
ABI2	comp68739_c0_seq5
CEBPZ	amisp018458
PLXNC1	amisp008336
TRIM28	amisp008330
RASA4	amisp029139
AASS	amisp013224
PDZK1IP1	amisp033678
ATP6AP2	amisp018124
CDH18	amisp006560
FARP1	amisp034489
LPAR6	comp28775_c0_seq1
LPCAT3	amisp005238
WASF2	amisp008462
CHST4	amisp009819
SLC25A13	amisp018581
SLC25A15	amisp004561
SERF2	comp29700_c0_seq1
CDK2	amisp011398
DHRS9	amisp031962
RCL1	amisp012210
SORBS3	amisp029804
CNIH1	amisp023378
TENM1	amisp010894
RBM7	comp65755_c1_seq2
CDK3	amisp022877
RBM6	amisp028219
RBM5	amisp028222
LHFPL2	amisp009955
LHFP	comp91517_c0_seq1
TNK2	amisp002519
ALYREF	comp77011_c0_seq1
CDK4	amisp012084
TXNDC9	amisp005469
LOC101927530	amisp019146
LOC101927581	comp32525_c0_seq1
LOC101928147	comp286165_c0_seq1
LOC101928220	amisp020811
LOC101928239	amisp021911
LOC101928265	amisp023272
LOC101928552	amisp020041
